Year,CO2_Trend
1958,314.98
1959,315.66
1960,317.3
1961,317.7
1962,318.67
1963,318.77
1964,319.58
1965,320.51
1966,321.49
1967,321.66
1968,323.25
1969,325.08
1970,325.51
1971,326.45
1972,327.2
1973,330.05
1974,330.23
1975,331.12
1976,332.14
1977,334.02
1978,335.57
1979,336.72
1980,338.54
1981,339.92
1982,341.55
1983,343.44
1984,344.76
1985,345.89
1986,347.33
1987,349.39
1988,352.02
1989,353.3
1990,354.19
1991,355.59
1992,356.44
1993,356.76
1994,358.79
1995,360.97
1996,362.85
1997,363.6
1998,367.14
1999,368.77
2000,369.2
2001,370.9
2002,373.42
2003,376.19
2004,376.94
2005,380.18
2006,381.91
2007,384.02
2008,385.8
2009,387.55
2010,389.72
2011,392.04
2012,393.92
2013,396.92
2014,398.73
2015,400.93
2016,404.01
2017,406.69
