Year,Temp_Jul,CO2_Trend
1958,0.05,314.98
1959,0.05,315.66
1960,0.09,317.3
1961,0.06,317.7
1962,0.1,318.67
1963,0.1,318.77
1964,-0.13,319.58
1965,-0.18,320.51
1966,0.11,321.49
1967,0.04,321.66
1968,-0.08,323.25
1969,0.06,325.08
1970,-0.04,325.51
1971,-0.13,326.45
1972,-0.05,327.2
1973,0.04,330.05
1974,-0.12,330.23
1975,-0.06,331.12
1976,-0.26,332.14
1977,0.08,334.02
1978,-0.07,335.57
1979,0.05,336.72
1980,0.13,338.54
1981,0.09,339.92
1982,0.04,341.55
1983,0.2,343.44
1984,0.08,344.76
1985,-0.08,345.89
1986,-0.02,347.33
1987,0.25,349.39
1988,0.42,352.02
1989,0.32,353.3
1990,0.33,354.19
1991,0.43,355.59
1992,-0.1,356.44
1993,0.12,356.76
1994,0.33,358.79
1995,0.37,360.97
1996,0.29,362.85
1997,0.41,363.6
1998,0.75,367.14
1999,0.35,368.77
2000,0.41,369.2
2001,0.63,370.9
2002,0.66,373.42
2003,0.68,376.19
2004,0.5,376.94
2005,0.75,380.18
2006,0.69,381.91
2007,0.65,384.02
2008,0.6,385.8
2009,0.68,387.55
2010,0.89,389.72
2011,0.71,392.04
2012,0.85,393.92
2013,0.69,396.92
2014,0.77,398.73
2015,0.92,400.93
2016,1.05,404.01
2017,0.98,406.69
